广东电信-组播1,#genre#
广东卫视,http://183.236.43.98:4111/udp/239.77.0.84:5146
广东卫视,http://183.236.43.98:4111/udp/239.77.0.166:5146
广东卫视,http://183.236.43.98:4111/udp/239.77.0.232:5146
广东卫视,http://183.236.43.98:4111/udp/239.77.1.19:5146
广东卫视,http://183.236.43.98:4111/udp/239.77.1.152:5146
广东卫视4K,http://183.236.43.98:4111/udp/239.77.1.237:5146
广东卫视4K,http://183.236.43.98:4111/udp/239.77.0.65:5146
广东卫视4K,http://183.236.43.98:4111/udp/239.77.0.66:5146
大湾区卫视,http://183.236.43.98:4111/udp/239.77.0.215:5146

广东4K,http://183.236.43.98:4111/udp/239.77.0.244:5146
广东4K,http://183.236.43.98:4111/udp/239.77.0.245:5146
广东4k,http://183.236.43.98:4111/udp/239.77.1.96:5146
广东体育,http://183.236.43.98:4111/udp/239.77.0.6:5146
广东体育,http://183.236.43.98:4111/udp/239.77.1.97:5146
广东体育频道,http://183.236.43.98:4111/udp/239.77.0.112:5146
广东体育频道,http://183.236.43.98:4111/udp/239.77.0.168:5146
广东南方购物,http://183.236.43.98:4111/udp/239.77.0.19:5146
广东嘉佳卡通,http://183.236.43.98:4111/udp/239.77.0.179:5146
广东国际,http://183.236.43.98:4111/udp/239.77.0.7:5146
广东少儿,http://183.236.43.98:4111/udp/239.77.0.12:5146
广东少儿频道,http://183.236.43.98:4111/udp/239.77.0.250:5146
广东影视,http://183.236.43.98:4111/udp/239.77.0.11:5146
广东影视频道,http://183.236.43.98:4111/udp/239.77.0.217:5146
广东新闻,http://183.236.43.98:4111/udp/239.77.0.4:5146
广东新闻,http://183.236.43.98:4111/udp/239.77.0.190:5146
广东新闻频道,http://183.236.43.98:4111/udp/239.77.0.173:5146
广东民生频道,http://183.236.43.98:4111/udp/239.77.0.225:5146
广东珠江,http://183.236.43.98:4111/udp/239.77.1.94:5146
广东珠江频道,http://183.236.43.98:4111/udp/239.77.0.1:5146
广东珠江频道,http://183.236.43.98:4111/udp/239.77.0.114:5146
广东移动频道,http://183.236.43.98:4111/udp/239.77.0.20:5146
广东经济科教,http://183.236.43.98:4111/udp/239.77.0.85:5146
广东经济科教,http://183.236.43.98:4111/udp/239.77.0.167:5146

CCTV-1综合,http://183.236.43.98:4111/udp/239.77.0.129:5146
CCTV-1综合,http://183.236.43.98:4111/udp/239.77.1.17:5146
CCTV-1综合,http://183.236.43.98:4111/udp/239.77.0.86:5146
CCTV-1综合,http://183.236.43.98:4111/udp/239.77.1.144:5146
CCTV-2财经,http://183.236.43.98:4111/udp/239.77.0.137:5146
CCTV-2财经,http://183.236.43.98:4111/udp/239.77.1.28:5146
CCTV-2财经,http://183.236.43.98:4111/udp/239.77.1.158:5146
CCTV-3综艺,http://183.236.43.98:4111/udp/239.77.0.169:5146
CCTV-3综艺,http://183.236.43.98:4111/udp/239.77.0.175:5146
CCTV-4中文国际,http://183.236.43.98:4111/udp/239.77.0.33:5146
CCTV-4中文国际,http://183.236.43.98:4111/udp/239.77.0.78:5146
CCTV-4中文国际,http://183.236.43.98:4111/udp/239.77.1.163:5146
CCTV-4中文国际,http://183.236.43.98:4111/udp/239.77.1.166:5146
CCTV-4中文国际欧洲,http://183.236.43.98:4111/udp/239.253.43.120:5146
CCTV-4中文国际美洲,http://183.236.43.98:4111/udp/239.253.43.121:5146
CCTV-5体育,http://183.236.43.98:4111/udp/239.77.0.177:5146
CCTV-5体育,http://183.236.43.98:4111/udp/239.77.0.170:5146
CCTV-5+体育赛事,http://183.236.43.98:4111/udp/239.77.0.87:5146
CCTV-5+体育赛事,http://183.236.43.98:4111/udp/239.77.1.31:5146
CCTV-6电影,http://183.236.43.98:4111/udp/239.77.0.171:5146
CCTV-6电影,http://183.236.43.98:4111/udp/239.77.0.178:5146
CCTV-7国防军事,http://183.236.43.98:4111/udp/239.77.0.138:5146
CCTV-7国防军事,http://183.236.43.98:4111/udp/239.77.1.159:5146
CCTV-7国防军事,http://183.236.43.98:4111/udp/239.77.1.167:5146
CCTV-7国防军事,http://183.236.43.98:4111/udp/239.77.1.24:5146
CCTV-8电视剧,http://183.236.43.98:4111/udp/239.77.0.172:5146
CCTV-8电视剧,http://183.236.43.98:4111/udp/239.77.0.181:5146
CCTV-9纪录,http://183.236.43.98:4111/udp/239.77.0.135:5146
CCTV-9纪录,http://183.236.43.98:4111/udp/239.77.1.160:5146
CCTV-9纪录,http://183.236.43.98:4111/udp/239.77.1.168:5146
CCTV-10科教,http://183.236.43.98:4111/udp/239.77.0.134:5146
CCTV-10科教,http://183.236.43.98:4111/udp/239.77.1.25:5146
CCTV-10科教,http://183.236.43.98:4111/udp/239.77.1.113:5146
CCTV-10科教,http://183.236.43.98:4111/udp/239.77.1.169:5146
CCTV-11戏曲,http://183.236.43.98:4111/udp/239.77.1.108:5146
CCTV-11戏曲,http://183.236.43.98:4111/udp/239.77.1.238:5146
CCTV-12社会与法,http://183.236.43.98:4111/udp/239.77.0.136:5146
CCTV-12社会与法,http://183.236.43.98:4111/udp/239.77.1.10:5146
CCTV-12社会与法,http://183.236.43.98:4111/udp/239.77.1.109:5146
CCTV-12社会与法,http://183.236.43.98:4111/udp/239.77.1.170:5146
CCTV-13新闻,http://183.236.43.98:4111/udp/239.77.0.188:5146
CCTV-13新闻,http://183.236.43.98:4111/udp/239.253.43.196:5146
CCTV-14少儿,http://183.236.43.98:4111/udp/239.77.0.133:5146
CCTV-14少儿,http://183.236.43.98:4111/udp/239.77.1.161:5146
CCTV-14少儿,http://183.236.43.98:4111/udp/239.77.1.171:5146
CCTV-15音乐,http://183.236.43.98:4111/udp/239.77.1.120:5146
CCTV-15音乐,http://183.236.43.98:4111/udp/239.77.1.239:5146
CCTV-16奥林匹克,http://183.236.43.98:4111/udp/239.77.0.165:5146
CCTV-17农业农村,http://183.236.43.98:4111/udp/239.77.0.198:5146
CCTV-17农业农村,http://183.236.43.98:4111/udp/239.77.1.121:5146
CCTV4K超高清,http://183.236.43.98:4111/udp/239.77.0.194:5146
CCTV4K(SDR),http://183.236.43.98:4111/udp/239.77.1.180:5146
CCTV16超高清,http://183.236.43.98:4111/udp/239.77.0.18:5146
CCTV16超高清,http://183.236.43.98:4111/udp/239.77.0.218:5146
湖南卫视,http://183.236.43.98:4111/udp/239.77.0.46:5146
湖南卫视,http://183.236.43.98:4111/udp/239.77.0.88:5146
