浙江联通-组播1,#genre#
浙江卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.100:5140

浙江news,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.137:5140
浙江之声广播,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.79:5140
浙江少儿,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.138:5140
浙江教育,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.134:5140
浙江新闻广播,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.80:5140
浙江民生,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.136:5140
浙江经济生活,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.133:5140

CCTV-1综合,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.118:5140
CCTV-2财经,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.119:5140
CCTV-3综艺,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.196:5140
CCTV-4中文国际,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.4:5140
CCTV-5体育,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.197:5140
CCTV-5+体育赛事,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.220:5140
CCTV-6电影,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.198:5140
CCTV-7国防军事,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.120:5140
CCTV-8电视剧,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.199:5140
CCTV-9纪录,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.121:5140
CCTV-10科教,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.122:5140
CCTV-11戏曲,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.11:5140
CCTV-12社会与法,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.123:5140
CCTV-13新闻,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.246:5140
CCTV-14少儿,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.124:5140
CCTV-15音乐,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.15:5140
CCTV-16奥林匹克,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.63:5140
CCTV-16奥林匹克,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.192:5140
CCTV-17农业农村,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.35:5140
湖南卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.103:5140
江苏卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.106:5140
北京卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.107:5140
东方卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.125:5140
安徽卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.113:5140
广东卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.102:5140
深圳卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.101:5140
辽宁卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.141:5140
山东卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.105:5140
天津卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.104:5140
重庆卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.143:5140
东南卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.146:5140
河北卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.140:5140
河南卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.144:5140
湖北卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.114:5140
陕西卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.59:5140
四川卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.139:5140
海南卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.55:5140
甘肃卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.149:5140
广西卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.49:5140
贵州卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.142:5140
黑龙江卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.115:5140
江西卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.145:5140
吉林卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.48:5140
内蒙古卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.148:5140
宁夏卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.57:5140
山西卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.51:5140
云南卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.46:5140
青海卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.65:5140
西藏卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.70:5140
兵团卫视,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.72:5140
凤凰中文,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.200.191:5140
凤凰资讯,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.200.192:5140
CGTN英语,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.126:5140
CGTN法语,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.37:5140
CGTN俄语,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.39:5140
CETV-1综合教育,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.75:5140
CETV-4职业教育,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.172:5140
BesTV,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.201:5140
北京优优宝贝,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.202.24:5140
上海动漫秀场,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.184:5140
上海游戏风云,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.183:5140
上海乐游,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.185:5140
上海都市剧场,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.190:5140
上海多彩文体4K,http://z2m.eversouthhangzhou.com.cn:8188/rtp/233.50.201.189:5140
