湖南电信-组播1,#genre#
湖南卫视,http://0000505.xyz:8888/udp/239.76.253.101:9000
湖南卫视,http://0000505.xyz:8888/udp/239.76.251.85:9000
湖南卫视,http://0000505.xyz:8888/udp/239.76.253.100:9000
湖南卫视,http://0000505.xyz:8888/udp/239.76.246.101:1234
湖南卫视,http://0000505.xyz:8888/udp/239.76.246.100:1234
湖南卫视4K,http://0000505.xyz:8888/rtp/239.76.253.224:9000
湖南卫视4K,http://0000505.xyz:8888/rtp/239.76.254.136:9000
湖南卫视4K,http://0000505.xyz:8888/rtp/239.76.246.63:1234
湖南卫视4K,http://0000505.xyz:8888/rtp/239.76.253.62:9000
湖南卫视4K,http://0000505.xyz:8888/rtp/239.69.1.13:9718
湖南卫视4K,http://0000505.xyz:8888/rtp/239.69.1.27:9802
湖南卫视4K,http://0000505.xyz:8888/rtp/239.69.2.34:11358
湖南卫视FHD,http://0000505.xyz:8888/udp/239.76.252.115:9000
湖南卫视FHD,http://0000505.xyz:8888/udp/239.76.245.115:1234
湖南卫视,http://0000505.xyz:8888/rtp/239.254.96.139:8908
湖南卫视,http://0000505.xyz:8888/rtp/239.254.96.15:8064

湖南公共FHD,http://0000505.xyz:8888/udp/239.76.252.123:9000
湖南公共FHD,http://0000505.xyz:8888/udp/239.76.245.123:1234
湖南公共频道,http://0000505.xyz:8888/udp/239.76.253.109:9000
湖南公共频道,http://0000505.xyz:8888/udp/239.76.246.109:1234
湖南国际FHD,http://0000505.xyz:8888/udp/239.76.252.124:9000
湖南国际FHD,http://0000505.xyz:8888/udp/239.76.245.124:1234
湖南国际频道,http://0000505.xyz:8888/udp/239.76.253.102:9000
湖南国际频道,http://0000505.xyz:8888/udp/239.76.252.240:9000
湖南国际频道,http://0000505.xyz:8888/udp/239.76.246.102:1234
湖南娱乐FHD,http://0000505.xyz:8888/udp/239.76.252.121:9000
湖南娱乐FHD,http://0000505.xyz:8888/udp/239.76.245.121:1234
湖南娱乐频道,http://0000505.xyz:8888/udp/239.76.253.105:9000
湖南娱乐频道,http://0000505.xyz:8888/udp/239.76.246.105:1234
湖南教育台,http://0000505.xyz:8888/udp/239.76.252.233:9000
湖南教育台,http://0000505.xyz:8888/udp/239.76.245.233:1234
