浙江电信-组播1,#genre#
浙江卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.79:5140
浙江卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.145:5140
浙江卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.27:5140
浙江卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.100:5140
浙江卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.221:5140
浙江卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.202.104:5140

浙江之声 FM,http://maymoon.asuscomm.com:7777/rtp/233.50.201.79:5140
浙江之江纪录,http://maymoon.asuscomm.com:7777/rtp/233.50.202.25:5140
浙江交通之声,http://maymoon.asuscomm.com:7777/rtp/233.50.201.83:5140
浙江城市之声,http://maymoon.asuscomm.com:7777/rtp/233.50.201.85:5140
浙江好易购,http://maymoon.asuscomm.com:7777/rtp/233.50.201.248:5140
浙江少儿,http://maymoon.asuscomm.com:7777/rtp/233.50.200.208:5140
浙江少儿,http://maymoon.asuscomm.com:7777/rtp/233.50.201.33:5140
浙江少儿频道,http://maymoon.asuscomm.com:7777/rtp/233.50.201.138:5140
浙江教育频道,http://maymoon.asuscomm.com:7777/rtp/233.50.201.134:5140
浙江新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.200.207:5140
浙江新闻,http://maymoon.asuscomm.com:7777/rtp/233.50.201.34:5140
浙江新闻广播,http://maymoon.asuscomm.com:7777/rtp/233.50.201.80:5140
浙江新闻频道,http://maymoon.asuscomm.com:7777/rtp/233.50.201.137:5140
浙江旅游之声,http://maymoon.asuscomm.com:7777/rtp/233.50.201.84:5140
浙江民生,http://maymoon.asuscomm.com:7777/rtp/233.50.200.206:5140
浙江民生,http://maymoon.asuscomm.com:7777/rtp/233.50.201.32:5140
浙江民生休闲,http://maymoon.asuscomm.com:7777/rtp/233.50.201.136:5140
浙江民生资讯广播,http://maymoon.asuscomm.com:7777/rtp/233.50.201.86:5140
浙江科教影视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.205:5140
浙江科教影视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.30:5140
浙江经济广播,http://maymoon.asuscomm.com:7777/rtp/233.50.201.81:5140
浙江经济生活,http://maymoon.asuscomm.com:7777/rtp/233.50.200.204:5140
浙江经济生活,http://maymoon.asuscomm.com:7777/rtp/233.50.201.133:5140
浙江钱江,http://maymoon.asuscomm.com:7777/rtp/233.50.200.203:5140
浙江钱江,http://maymoon.asuscomm.com:7777/rtp/233.50.201.28:5140
浙江钱江频道,http://maymoon.asuscomm.com:7777/rtp/233.50.201.132:5140
浙江音乐调频,http://maymoon.asuscomm.com:7777/rtp/233.50.201.82:5140

CCTV-1综合,http://maymoon.asuscomm.com:7777/rtp/233.50.200.99:5140
CCTV-1综合,http://maymoon.asuscomm.com:7777/rtp/233.50.200.143:5140
CCTV-1综合,http://maymoon.asuscomm.com:7777/rtp/233.50.200.247:5140
CCTV-1综合,http://maymoon.asuscomm.com:7777/rtp/233.50.201.1:5140
CCTV-1综合,http://maymoon.asuscomm.com:7777/rtp/233.50.201.127:5140
