福建联通-组播1,#genre#
福建公共频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.150:8208
福建少儿频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.156:8208
福建教育频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.106:8208
福建文体频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.155:8208
福建新闻频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.151:8208
福建旅游频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.153:8208
福建电视剧频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.152:8208
福建经济频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.154:8208
福建综合频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.148:8208
福建综合频道,http://﻿http://112.109.206.238:9999/rtp/239.255.40.202:8208

CGTN英语,http://﻿http://112.109.206.238:9999/rtp/239.255.40.5:8208
CGTN法语,http://﻿http://112.109.206.238:9999/rtp/239.255.40.178:8208
CGTN俄语,http://﻿http://112.109.206.238:9999/rtp/239.255.40.179:8208
CGTN纪录,http://﻿http://112.109.206.238:9999/rtp/239.255.40.183:8208
CETV-1综合教育,http://﻿http://112.109.206.238:9999/rtp/239.255.40.201:8208
CETV-2空中课堂,http://﻿http://112.109.206.238:9999/rtp/239.255.40.30:8208
CETV-4职业教育,http://﻿http://112.109.206.238:9999/rtp/239.255.40.31:8208
中国交通,http://﻿http://112.109.206.238:9999/rtp/239.255.40.211:8208
中国天气,http://﻿http://112.109.206.238:9999/rtp/239.255.40.89:8208
睛彩竞技,http://﻿http://112.109.206.238:9999/rtp/239.255.40.208:8208
睛彩广场舞,http://﻿http://112.109.206.238:9999/rtp/239.255.40.210:8208
睛彩青少,http://﻿http://112.109.206.238:9999/rtp/239.255.40.207:8208
睛彩篮球,http://﻿http://112.109.206.238:9999/rtp/239.255.40.209:8208
华数经典电影,http://﻿http://112.109.206.238:9999/rtp/239.255.40.70:8208
华数热播剧场,http://﻿http://112.109.206.238:9999/rtp/239.255.40.69:8208
华数少儿动画,http://﻿http://112.109.206.238:9999/rtp/239.255.40.66:8208
华数谍战剧场,http://﻿http://112.109.206.238:9999/rtp/239.255.40.58:8208
IPTV3+,http://﻿http://112.109.206.238:9999/rtp/239.255.40.62:8208
IPTV3综艺,http://﻿http://112.109.206.238:9999/rtp/239.255.40.68:8208
IPTV体育,http://﻿http://112.109.206.238:9999/rtp/239.255.40.71:8208
IPTV法治,http://﻿http://112.109.206.238:9999/rtp/239.255.40.61:8208
IPTV相声小品,http://﻿http://112.109.206.238:9999/rtp/239.255.40.59:8208
IPTV野外,http://﻿http://112.109.206.238:9999/rtp/239.255.40.60:8208
IPTV魅力时尚,http://﻿http://112.109.206.238:9999/rtp/239.255.40.67:8208
北京纪实科教,http://﻿http://112.109.206.238:9999/rtp/239.255.40.205:8208
北京卡酷少儿,http://﻿http://112.109.206.238:9999/rtp/239.255.40.24:8208
湖南金鹰纪实,http://﻿http://112.109.206.238:9999/rtp/239.255.40.57:8208
湖南金鹰卡通,http://﻿http://112.109.206.238:9999/rtp/239.255.40.25:8208
