辽宁联通-组播1,#genre#
辽宁卫视,http://123.191.12.59:1111/rtp/232.0.0.126:1234

辽宁体育休闲,http://123.191.12.59:1111/rtp/232.0.0.164:1234
辽宁公共频道,http://123.191.12.59:1111/rtp/232.0.0.168:1234
辽宁北方频道,http://123.191.12.59:1111/rtp/232.0.0.151:1234
辽宁宜佳购物,http://123.191.12.59:1111/rtp/232.0.0.30:1234
辽宁影视剧频道,http://123.191.12.59:1111/rtp/232.0.0.25:1234
辽宁教育青少,http://123.191.12.59:1111/rtp/232.0.0.241:1234
辽宁生活频道,http://123.191.12.59:1111/rtp/232.0.0.150:1234
辽宁经济频道,http://123.191.12.59:1111/rtp/232.0.0.156:1234
辽宁都市频道,http://123.191.12.59:1111/rtp/232.0.0.154:1234

CCTV-风云足球,http://123.191.12.59:1111/rtp/232.0.0.52:1234
CCTV-央视文化精品,http://123.191.12.59:1111/rtp/232.0.0.56:1234
CCTV-风云音乐,http://123.191.12.59:1111/rtp/232.0.0.47:1234
CCTV-第一剧场,http://123.191.12.59:1111/rtp/232.0.0.29:1234
CCTV-怀旧剧场,http://123.191.12.59:1111/rtp/232.0.0.38:1234
CCTV-风云剧场,http://123.191.12.59:1111/rtp/232.0.0.45:1234
CCTV-世界地理,http://123.191.12.59:1111/rtp/232.0.0.63:1234
CCTV-电视指南,http://123.191.12.59:1111/rtp/232.0.0.91:1234
CCTV-兵器科技,http://123.191.12.59:1111/rtp/232.0.0.58:1234
CCTV-女性时尚,http://123.191.12.59:1111/rtp/232.0.0.51:1234
CCTV-央视台球,http://123.191.12.59:1111/rtp/232.0.0.60:1234
CGTN英语,http://123.191.12.59:1111/rtp/232.0.0.188:1234
CGTN法语,http://123.191.12.59:1111/rtp/232.0.0.8:1234
CGTN俄语,http://123.191.12.59:1111/rtp/232.0.0.28:1234
CGTN纪录,http://123.191.12.59:1111/rtp/232.0.0.198:1234
CETV-1综合教育,http://123.191.12.59:1111/rtp/232.0.0.212:1234
CETV-2空中课堂,http://123.191.12.59:1111/rtp/232.0.0.238:1234
CETV-4职业教育,http://123.191.12.59:1111/rtp/232.0.0.239:1234
聚鲨环球精选,http://123.191.12.59:1111/rtp/232.0.0.207:1234
